member_id,ssn,first_name,last_name,date_of_birth,gender,address,city,state,zip_code,phone,email,plan_type,payer_id,effective_date,termination_date,created_at
MBR766563,229-18-1680,Margaret,Johnson,1959-02-02,F,600 Jeffery Parkways,New Jamesside,VA,55488,479.540.2654,curtis61@example.com,PPO,PAY0004,2024-05-31,,2026-05-17T23:45:43.471464
MBR802729,748-59-8786,Sarah,Munoz,1995-04-20,F,1849 Ray Squares,North Donnaport,NC,10959,516.647.5255,lynchgeorge@example.net,HMO,PAY0003,2023-07-23,,2026-05-17T23:45:43.472440
MBR356702,705-72-3599,David,Ford,1958-09-29,M,30564 Jason Port Suite 376,Thomasberg,IL,32826,001-388-249-6965x3287,hernandezernest@example.net,POS,PAY0003,2026-02-04,,2026-05-17T23:45:43.472978
MBR771088,480-68-4120,Jennifer,Brown,1966-05-06,F,184 Rodriguez Mews,South Aaron,MO,95147,001-248-728-1489x3252,xsmith@example.com,PPO,PAY0008,2025-11-27,,2026-05-17T23:45:43.473415
MBR913694,088-94-7963,Cynthia,Allen,1978-12-25,F,227 Joseph Well,Brandtside,CA,99495,001-234-565-7871x3315,adrianzimmerman@example.org,PPO,PAY0001,2023-09-16,,2026-05-17T23:45:43.473895
MBR520651,073-66-3900,Darryl,Whitehead,1998-11-15,M,738 Jennifer Ports Suite 376,North Collin,NC,56999,(566)970-1065x133,robertramirez@example.org,HMO,PAY0003,2024-10-11,,2026-05-17T23:45:43.474342
MBR694731,101-07-8857,Shannon,Jones,1995-05-12,M,32677 Michelle Circle,South Aaron,NJ,51674,274-768-7234x309,williamsthomas@example.net,PPO,PAY0007,2025-09-17,,2026-05-17T23:45:43.474767
MBR774079,071-77-1114,Brooke,Yu,1945-10-29,F,1939 Christine Manor,Sarahborough,MA,88283,001-353-346-2475x107,williamanderson@example.com,PPO,PAY0008,2024-02-29,,2026-05-17T23:45:43.475195
MBR881177,449-70-4957,Shirley,Suarez,1965-07-09,F,841 Joseph Coves,West Juan,MO,28108,001-253-748-7401x640,danagreen@example.net,HDHP,PAY0003,2024-08-01,2024-12-01,2026-05-17T23:45:43.475626
MBR549245,115-10-2443,Jessica,Thornton,1978-07-18,F,9826 Bobby Lakes,West Jasonbury,MD,87917,858-269-2322,jillcook@example.com,POS,PAY0009,2023-06-01,,2026-05-17T23:45:43.476039
MBR245051,274-21-1772,Rebekah,Shields,1995-07-19,F,73375 Hoover Well Apt. 303,Murphyland,IN,37086,(386)885-0142x940,jessica56@example.net,POS,PAY0009,2024-06-05,,2026-05-17T23:45:43.476430
MBR214975,195-33-0728,William,Wilson,2001-08-02,M,88356 Stacy Isle Suite 148,Elizabethmouth,PA,53244,001-248-623-6629x946,jason99@example.net,PPO,PAY0006,2025-10-28,,2026-05-17T23:45:43.476792
MBR503457,524-61-2781,Erica,Ramos,1986-05-08,F,8951 Emily Fork,East Andrew,WA,32593,391.876.9367x6320,gregoryrubio@example.net,HDHP,PAY0008,2024-04-12,,2026-05-17T23:45:43.477224
MBR680099,468-18-7613,Julie,Grant,2002-10-22,F,9868 Merritt Summit Suite 743,Katiehaven,TX,64018,+1-434-571-4345x5812,tbenson@example.org,HMO,PAY0005,2023-11-21,,2026-05-17T23:45:43.477622
MBR456699,426-08-3389,Amy,Russell,1977-04-19,F,9096 Smith Knoll Suite 668,South Jeffrey,NY,57626,206.356.2729x8069,dtaylor@example.org,EPO,PAY0005,2025-05-09,,2026-05-17T23:45:43.478011
MBR103402,335-44-6212,Amber,Gray,1954-10-11,F,4170 Zoe Keys Apt. 100,East Mary,NC,81940,(732)471-9374,stricklandfrank@example.com,HDHP,PAY0009,2025-04-22,,2026-05-17T23:45:43.478426
MBR211579,694-49-6499,Brian,Johnson,1961-08-08,M,93149 Laura Port,West Amandastad,MI,09539,950.967.1657x26284,lpetersen@example.com,HDHP,PAY0010,2025-10-27,,2026-05-17T23:45:43.478791
MBR899550,286-58-3996,Frank,Sanchez,2003-12-23,M,965 Troy Islands Apt. 735,Matthewview,IL,73349,9839136783,fmcguire@example.com,HDHP,PAY0001,2023-09-28,,2026-05-17T23:45:43.479165
MBR612340,596-48-7754,Daniel,Holt,1961-03-18,M,8557 Parker Fort Apt. 351,East Javier,TX,63965,298-494-1343x524,brandon08@example.com,HMO,PAY0007,2026-03-13,,2026-05-17T23:45:43.479537
MBR972064,106-02-9406,Melissa,Martinez,1999-06-22,F,7752 Johnny Wall Suite 116,Joneston,MI,20388,(594)813-1869,tkerr@example.net,PPO,PAY0002,2025-06-17,,2026-05-17T23:45:43.479935
MBR694916,625-95-1626,William,Torres,1982-08-20,M,341 John Plaza,East Aaronmouth,FL,90858,+1-574-803-4471x349,stephensdeborah@example.com,HMO,PAY0003,2023-08-18,,2026-05-17T23:45:43.480343
MBR897549,610-96-9326,Samantha,Jones,1951-09-01,F,1746 Mason Park Suite 190,Navarroview,MO,03891,939-990-4902,howard96@example.net,PPO,PAY0001,2024-09-05,,2026-05-17T23:45:43.480762
MBR676510,419-43-5261,Robert,Costa,1972-05-11,M,56746 Shawn Island,Marcusfurt,IL,67950,9879603859,harrisandrea@example.com,EPO,PAY0004,2024-11-07,,2026-05-17T23:45:43.481642
MBR665492,646-78-3921,Jessica,Wolfe,1948-08-21,F,8086 Jeffrey Ville,South Staceyberg,OH,65824,001-548-446-7737x826,hillkristy@example.com,EPO,PAY0005,2023-06-30,,2026-05-17T23:45:43.482560
MBR781446,290-93-4892,Gina,French,1958-07-22,F,78755 Gibson Islands Apt. 396,Port Kimberly,VA,06221,976-262-7028x95171,robertpena@example.org,POS,PAY0008,2023-05-20,,2026-05-17T23:45:43.483344
MBR335612,710-51-1316,Angela,Harrington,1958-05-30,F,865 Brennan Camp Apt. 343,South Tiffanyville,FL,58654,(840)405-0455,amandaknight@example.org,EPO,PAY0002,2024-10-23,2026-02-19,2026-05-17T23:45:43.483883
MBR341292,635-88-3946,Christopher,Miller,1999-08-20,M,237 Stevens Shores Apt. 748,North Scott,MD,45794,001-346-547-4367,karmstrong@example.com,PPO,PAY0008,2024-12-31,,2026-05-17T23:45:43.484879
MBR761759,282-02-9273,Willie,Phillips,2006-12-03,M,743 Robinson Field,Ericaberg,CA,82846,604-770-9521,ithompson@example.net,PPO,PAY0006,2026-03-04,2026-04-11,2026-05-17T23:45:43.485448
MBR446479,851-22-4211,Shawn,Diaz,1974-07-10,M,5171 Karen Fork Suite 851,Smithside,FL,16700,754.596.5137x098,reidsteven@example.net,HDHP,PAY0005,2024-07-13,,2026-05-17T23:45:43.485976
MBR608993,039-39-8072,Eric,Ortiz,1949-11-20,M,38267 Santiago Summit,Matthewsberg,OH,54880,+1-317-796-4053x7735,bruce43@example.org,HDHP,PAY0006,2023-07-26,,2026-05-17T23:45:43.486398
MBR698782,218-83-9784,Travis,Holloway,1946-08-12,M,53293 Maria Plaza,New Jason,MD,31040,729-504-2284x21020,alfred40@example.org,POS,PAY0006,2026-03-11,,2026-05-17T23:45:43.486759
MBR946721,488-58-5932,Patrick,Fox,1991-02-12,M,8390 Ellis Burgs,South Melaniechester,AZ,90429,477-611-5921,oscar98@example.com,PPO,PAY0009,2023-08-23,,2026-05-17T23:45:43.487135
MBR551989,874-84-9034,Jesse,Jacobs,1947-02-15,M,7365 Ross Stream,West Ronaldview,VA,49561,(471)211-1615,elizabeth65@example.net,POS,PAY0009,2026-05-11,2026-05-11,2026-05-17T23:45:43.487518
MBR864491,295-77-5120,Teresa,Henderson,2002-09-12,F,98327 Melanie Keys Suite 149,Port Roy,CA,74027,001-499-480-9402x44550,vjones@example.net,HMO,PAY0005,2023-08-04,,2026-05-17T23:45:43.487914
MBR455784,386-54-7433,Wesley,Davis,1976-06-22,M,54599 Nicole Drives Apt. 901,Scottchester,NY,64157,+1-976-643-8156x149,walkertracey@example.org,PPO,PAY0006,2024-04-15,,2026-05-17T23:45:43.488332
MBR570405,783-33-4743,Adam,Turner,1954-10-01,M,07622 Patel Forks Suite 160,Smithland,PA,41534,001-769-466-4160,xcollier@example.org,POS,PAY0001,2023-12-16,,2026-05-17T23:45:43.488737
MBR361941,411-68-1289,Jeffrey,Rodriguez,1970-01-08,M,5352 William Crescent Apt. 552,North Dwayne,FL,26357,(992)712-7799,edward17@example.com,POS,PAY0007,2025-11-16,,2026-05-17T23:45:43.489078
MBR666847,520-10-5086,Mark,Hogan,1980-08-14,M,0054 Deanna Walk Apt. 998,Fordside,TX,97352,2799359782,shepherdmary@example.net,HMO,PAY0002,2023-08-12,2025-02-08,2026-05-17T23:45:43.489528
MBR609231,725-57-7200,Bradley,Lucas,1943-01-14,M,5466 Shelton Center,Cameronville,TN,73634,+1-364-649-2519x25462,vschneider@example.org,PPO,PAY0006,2024-06-04,,2026-05-17T23:45:43.489920
MBR272634,540-12-6938,Meagan,Calderon,1990-08-25,F,54235 Lee Dam Apt. 141,Lake Matthewberg,WA,78783,(622)929-2706x5379,amandacollins@example.com,HMO,PAY0010,2026-04-15,,2026-05-17T23:45:43.490373
MBR922157,452-60-4617,Stephanie,Lee,1986-07-14,F,862 Laurie Dam Suite 075,Lake Meghanville,MA,37864,924-778-2613,perryrandy@example.com,EPO,PAY0004,2025-10-19,,2026-05-17T23:45:43.490807
MBR865990,029-41-1624,Cynthia,Vang,1965-11-20,F,20472 West Avenue Apt. 043,New Shelby,MO,80308,961.243.4103x69711,jennifercarter@example.org,POS,PAY0010,2024-04-29,,2026-05-17T23:45:43.491240
MBR328275,681-86-1403,Lucas,Allen,1968-09-20,M,88888 Peter Mountains Apt. 654,West Kristinastad,CA,32105,001-419-352-0585x2772,mjohnson@example.org,HDHP,PAY0010,2024-03-02,,2026-05-17T23:45:43.491604
MBR159942,528-51-8898,Rick,Blackwell,1961-11-07,M,0345 Michelle Isle Suite 156,Paulfurt,CA,44939,(877)458-4161,manuel15@example.net,HDHP,PAY0009,2024-09-09,,2026-05-17T23:45:43.491976
MBR994141,171-89-7273,Elizabeth,Griffin,1989-03-18,F,0596 Fowler Turnpike Apt. 165,North Douglas,IN,80136,+1-770-721-3556x90927,khines@example.org,PPO,PAY0003,2025-03-08,,2026-05-17T23:45:43.492366
MBR184002,256-15-0425,Joseph,Sanders,1984-07-29,M,8681 Hampton Squares,Lewisport,IL,91462,631.621.7271x5518,jenniferho@example.net,HMO,PAY0005,2024-07-22,,2026-05-17T23:45:43.492812
MBR346629,206-18-3879,Christopher,Ward,1955-08-20,M,58957 Cheryl Corners Apt. 467,Hammondshire,WA,10167,(451)477-8528,dshaw@example.org,HMO,PAY0006,2023-11-21,,2026-05-17T23:45:43.493209
MBR141672,727-29-5670,Joseph,Torres,1951-05-25,M,43842 Mendez Course Apt. 992,Lake Claudia,WI,79817,690-601-0943x96907,zsanchez@example.net,HMO,PAY0006,2024-09-29,,2026-05-17T23:45:43.493596
MBR692683,162-57-6810,Jennifer,Chavez,1987-03-27,F,3592 Hensley Island Suite 625,West Johnville,IN,35559,732.510.4696x325,tyronerobertson@example.com,EPO,PAY0009,2023-08-18,,2026-05-17T23:45:43.494041
MBR850981,518-59-3945,Sherry,Jimenez,1946-07-03,F,500 Simpson Ville,Mitchelltown,NJ,14590,(624)356-5060x98358,wgordon@example.net,PPO,PAY0008,2025-01-16,,2026-05-17T23:45:43.494440
MBR804318,122-17-1585,Diana,Hays,1986-09-04,F,5852 Carrie Locks Apt. 002,Lindahaven,MI,60399,(698)725-9526,terickson@example.com,POS,PAY0008,2025-12-21,,2026-05-17T23:45:43.494806
MBR176066,427-75-5041,Robyn,Richardson,1986-03-24,F,749 Jennifer Prairie,Jacksonfurt,TX,19870,+1-930-291-3075x62636,aprilhoffman@example.net,POS,PAY0002,2023-11-03,,2026-05-17T23:45:43.495230
MBR323508,546-44-8951,John,Bennett,2005-06-23,M,497 Susan Harbors Suite 344,Lake Janet,IN,42056,258.644.1986x6524,reedscott@example.com,EPO,PAY0007,2024-02-10,2026-01-24,2026-05-17T23:45:43.495664
MBR172132,278-72-4451,Paul,Lewis,1996-09-18,M,99330 Dana Center,South Markfort,GA,13679,+1-520-282-6773x45401,robertmonroe@example.org,EPO,PAY0010,2025-08-30,,2026-05-17T23:45:43.496087
MBR974244,767-38-0614,Yolanda,Sanders,1974-01-31,F,9915 Gibson Row,Smallberg,MO,66589,543.415.2742x054,gwilcox@example.com,EPO,PAY0005,2024-03-01,,2026-05-17T23:45:43.496489
MBR681542,489-42-4065,Brandon,Caldwell,1952-12-12,M,6374 Turner Stream,West Desireebury,MI,08643,+1-417-942-6841x45933,spencerzhang@example.com,HMO,PAY0008,2023-12-21,,2026-05-17T23:45:43.496914
MBR212235,822-86-3579,Jason,Dunn,1972-05-31,M,918 Rice Lake,New Danielside,MO,66756,598.922.5871,nolansean@example.org,PPO,PAY0003,2025-08-29,,2026-05-17T23:45:43.497338
MBR320861,060-72-7576,Jody,Palmer,1971-06-17,F,064 Julie Prairie Apt. 065,New Virginialand,NJ,62376,8468226567,vegadorothy@example.net,PPO,PAY0003,2025-10-09,,2026-05-17T23:45:43.498040
MBR363319,551-51-8665,Brandi,Dalton,1948-06-12,F,300 Ford Stravenue,Patelbury,CA,32942,352.343.1069x033,griffinemily@example.org,HMO,PAY0006,2024-02-18,,2026-05-17T23:45:43.498707
MBR146228,553-28-0925,Dana,Williams,1970-03-31,F,439 Ray Trail,Joelberg,TX,87036,836.744.0892x68705,trussell@example.com,EPO,PAY0007,2024-05-15,,2026-05-17T23:45:43.499169
MBR374680,308-91-2366,Clinton,Medina,1956-10-09,M,86688 Paul Glens Apt. 517,Christopherborough,IL,07256,769-690-1398x373,lewisjames@example.net,POS,PAY0010,2024-05-01,,2026-05-17T23:45:43.500207
MBR217308,713-78-3351,Autumn,Key,1972-12-18,F,85467 Parker Lake Suite 717,Robinstad,FL,41516,(709)532-0489x96423,phudson@example.com,PPO,PAY0010,2024-05-27,,2026-05-17T23:45:43.501134
MBR710805,782-63-8038,Juan,Harding,1963-05-07,M,52287 Sabrina Plains Apt. 801,Port Adamberg,MO,83168,912.903.8750,smithandrea@example.org,PPO,PAY0007,2024-06-19,,2026-05-17T23:45:43.501678
MBR423232,515-90-7055,Alice,Bowen,1976-10-30,F,18233 Ochoa Grove,Millerfurt,VA,60662,001-833-941-0166,walshjacqueline@example.org,HMO,PAY0002,2024-08-04,2024-08-17,2026-05-17T23:45:43.502175
